cluster_id,canonicalised_url,candidate_id,title,year,publisher,text_sha256,decision
1,https://miningweekly.com/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-15,expanded_media_candidates__EXP-MEDIA-001,It's business unusual at 'improving' Lonmin – Munroe,2013,Mining Weekly,5e52197946b9863dbcd8ef595692499096a4eb828914ea7c5cda853e92e93366,manual_review_same_url
1,https://miningweekly.com/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-15,expanded_media_candidates_batch1__EXP-MEDIA-025,It's business unusual at 'improving' Lonmin – Munroe,2013,Mining Weekly,ffb49d257b8daddec1d9a03a0c45066ea9c771a0bd57f18400e88594d54fb862,manual_review_same_url
2,https://miningweekly.com/article/rustenburg-communities-want-concourt-to-set-aside-sibanyes-lonmin-takeover-2019-07-19,MEDIA-050,Rustenburg communities want ConCourt to set aside Sibanye's Lonmin takeover,2019,Mining Weekly,7e1ef1a2b3856b3bca0f225448502f6d2fd9d3f7fbe54915e95806e1b5d78c3f,manual_review_same_url
2,https://miningweekly.com/article/rustenburg-communities-want-concourt-to-set-aside-sibanyes-lonmin-takeover-2019-07-19,SAT-MEDIA-012,Rustenburg communities want ConCourt to set aside Sibanye's Lonmin takeover,2019,Mining Weekly,1a85d6200a97535e6e670285c20e61c67306760932021614286cc1e1935ea2d4,manual_review_same_url
3,https://miningweekly.com/article/sibanye-lonmin-merger-enters-final-stretch-as-amcu-appeal-is-dismissed-2019-05-17,MEDIA-049,"Sibanye, Lonmin merger enters final stretch as AMCU appeal is dismissed",2019,Mining Weekly,231313a3ba196fc717b84fdb5ade922be5b8d9abee5f3873c038d617c522a014,manual_review_same_url
3,https://miningweekly.com/article/sibanye-lonmin-merger-enters-final-stretch-as-amcu-appeal-is-dismissed-2019-05-17,SAT-MEDIA-011,"Sibanye, Lonmin merger enters final stretch as AMCU appeal is dismissed",2019,Mining Weekly,c94122a498152a45f32f39b92e46070b1952569252c6da5a7e7ea715869e20d9,manual_review_same_url
4,https://miningweekly.com/article/sibanye-plans-to-cut-5-270-jobs-as-it-restructures-marikana-operations-2019-09-25,MEDIA-051,Sibanye plans to cut 5 270 jobs as it restructures Marikana operations,2019,Mining Weekly,55fc1bb71cc17bb99387d11ae4fd57cb7b12b2ab7d4ab2aab950da5a8f70411b,manual_review_same_url
4,https://miningweekly.com/article/sibanye-plans-to-cut-5-270-jobs-as-it-restructures-marikana-operations-2019-09-25,WEB-MEDIA-001,Sibanye to cut 5 270 jobs as it restructures Marikana operations,2019,Mining Weekly,e71f25a7e3e093cbdf796ff91aa46bba8425c4b9cf21e82789161f1ff62a1674,manual_review_same_url
5,https://thevault.exchange,CORP-NEWS-002,Constitutional Court of South Africa dismisses applications brought by Greater Lonmin Community,2019,Sibanye-Stillwater,7bc0b9ee4b092a58e7c8f3cb4cb18a0cd30a266c32137cc7f6d01234d33e206d,manual_review_same_url
5,https://thevault.exchange,CORP-NEWS-003,Sibanye-Stillwater signs three-year PGM wage agreements,2019,Sibanye-Stillwater,e2f08e1c08b0e587e091f40ef339074d012f23dc3ea8e95fa73b8b22adf25b6c,manual_review_same_url
5,https://thevault.exchange,CORP-NEWS-005,Referral of the Platinum wage negotiations dispute to the CCMA for Sibanye-Stillwater’s Rustenburg and Marikana operations,2019,Sibanye-Stillwater,142a3d7307814cd509fb45d43f958bd4a1eddbfb80e80e0a738f1dbc9f58b9b5,manual_review_same_url
5,https://thevault.exchange,CORP-NEWS-006,Marikana Commemoration speakers call for positive change in South Africa,2023,Sibanye-Stillwater,8639bebcb73f5d6b51e9e7365e622bb7d737c8aa5a64445a4b6c9a8323691f5e,manual_review_same_url
